epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,309.162,1.20328,0.78714,1.04575,0.97679,0.4928,0.49105,0.3216,1.18315,0.70998,1.0958,0.00106906,0.00106906,0.00106906
3,457.685,1.16953,0.66537,1.0396,0.97716,0.48577,0.49892,0.33712,1.16205,0.70927,1.03494,0.00155157,0.00155157,0.00155157
4,539.936,1.12307,0.61919,1.02016,0.97659,0.48669,0.5014,0.33082,1.17695,0.59916,1.15112,0.00150197,0.00150197,0.00150197
5,623.331,1.07341,0.57467,1.00397,0.97488,0.48732,0.51038,0.31169,1.33457,0.58858,1.28183,0.00144696,0.00144696,0.00144696
6,752.308,1.03999,0.55021,0.99041,0.98326,0.48915,0.63818,0.39437,1.23442,0.54721,1.21695,0.00139195,0.00139195,0.00139195
7,836.235,0.99416,0.52417,0.97598,0.60363,0.62362,0.61763,0.4005,1.12409,0.52018,1.12039,0.00133693,0.00133693,0.00133693
8,919.822,0.93044,0.48483,0.95673,0.61151,0.73593,0.65185,0.40916,1.18496,0.49664,1.19337,0.00128192,0.00128192,0.00128192
9,1006.96,0.89155,0.46362,0.94432,0.7151,0.75957,0.73079,0.45448,1.16057,0.49181,1.16249,0.00122691,0.00122691,0.00122691
10,1091.01,0.85845,0.45033,0.93083,0.69042,0.76281,0.68497,0.4187,1.2039,0.49882,1.22551,0.0011719,0.0011719,0.0011719
11,1295.06,0.81126,0.4293,0.9182,0.70756,0.74006,0.68833,0.43977,1.15195,0.47053,1.21597,0.00111689,0.00111689,0.00111689
12,1379.45,0.77805,0.41398,0.90889,0.66982,0.77392,0.7053,0.43563,1.21511,0.49763,1.27783,0.00106188,0.00106188,0.00106188
13,1462.94,0.74454,0.40424,0.90021,0.67946,0.75104,0.69799,0.43172,1.19084,0.48035,1.24744,0.00100687,0.00100687,0.00100687
14,1932.87,0.71012,0.38888,0.88791,0.67456,0.74613,0.71308,0.4464,1.16481,0.47184,1.23456,0.000951857,0.000951857,0.000951857
15,2016.5,0.68005,0.37536,0.88134,0.66354,0.73043,0.70695,0.42715,1.20526,0.47644,1.30063,0.000896846,0.000896846,0.000896846
16,2103.42,0.6482,0.36653,0.87344,0.71547,0.74848,0.71662,0.43311,1.20489,0.46509,1.29608,0.000841835,0.000841835,0.000841835
17,2190.71,0.63786,0.36291,0.8691,0.65272,0.77048,0.68627,0.4284,1.17459,0.46237,1.28443,0.000786824,0.000786824,0.000786824
18,2274.95,0.61275,0.3501,0.86249,0.67908,0.7627,0.68534,0.41513,1.17661,0.45004,1.28713,0.000731813,0.000731813,0.000731813
19,2368.67,0.59367,0.34179,0.85895,0.70525,0.71435,0.69065,0.42458,1.19464,0.47386,1.33191,0.000676802,0.000676802,0.000676802
20,2453.03,0.56811,0.33345,0.8535,0.69421,0.73387,0.69954,0.43152,1.17217,0.4526,1.30822,0.000621791,0.000621791,0.000621791
21,2529.6,0.53575,0.32666,0.84475,0.67311,0.7202,0.65718,0.41247,1.17766,0.47405,1.33284,0.00056678,0.00056678,0.00056678
22,2605.78,0.49627,0.30615,0.83535,0.72842,0.75539,0.71689,0.44234,1.17975,0.46171,1.34093,0.000511769,0.000511769,0.000511769
23,2681.63,0.47388,0.29684,0.82961,0.69715,0.73825,0.69413,0.43015,1.17367,0.45698,1.33565,0.000456758,0.000456758,0.000456758
24,2757.7,0.44712,0.28352,0.82311,0.67411,0.75963,0.68362,0.42821,1.17936,0.46199,1.36704,0.000401747,0.000401747,0.000401747
25,2833.79,0.43039,0.27703,0.82098,0.68257,0.75056,0.70408,0.43695,1.17356,0.44843,1.34801,0.000346736,0.000346736,0.000346736
26,2909.51,0.41223,0.26995,0.81684,0.73742,0.71979,0.70693,0.44348,1.17604,0.45258,1.36796,0.000291725,0.000291725,0.000291725
27,2985.1,0.40769,0.26565,0.81607,0.70851,0.73222,0.69944,0.43987,1.14548,0.44711,1.32785,0.000236714,0.000236714,0.000236714
28,3060.49,0.3904,0.2594,0.81193,0.69983,0.78247,0.71487,0.44107,1.17891,0.44635,1.36496,0.000181703,0.000181703,0.000181703
29,3136.34,0.38031,0.25469,0.81053,0.69285,0.77135,0.70825,0.43612,1.18383,0.45188,1.38394,0.000126692,0.000126692,0.000126692
30,3211.82,0.36917,0.25073,0.80856,0.69777,0.75694,0.71857,0.44112,1.17724,0.45102,1.37163,7.1681e-05,7.1681e-05,7.1681e-05
