"ID";"PROGENY";"GA_PARENT";"GB_PARENT";"PARCEL";"PLOT";"X_POSITION";"Y_POSITION";"EVENT_T1S";"Y_T1S";"EVENT_TD";"Y_TD"
"D2L2_1";"D2L2";"D2";"L2";"44A";79;14;12;0;25.5;0;25.5
"D2L2_2";"D2L2";"D2";"L2";"44A";79;14;13;1;25.5;0;25.5
"D2L2_3";"D2L2";"D2";"L2";"44A";79;14;14;0;25.5;0;25.5
"D3L3_4";"D3L3";"D3";"L3";"44A";67;15;3.5;0;25.5;0;25.5
"D3L3_5";"D3L3";"D3";"L3";"44A";67;15;4.5;0;25.5;0;25.5
"D3L3_6";"D3L3";"D3";"L3";"44A";67;15;5.5;0;25.5;0;25.5
"D4L1_4";"D4L1";"D4";"L1";"44A";71;15;6.5;1;18.5;1;24.5
"D4L1_5";"D4L1";"D4";"L1";"44A";71;15;7.5;1;24;0;25.5
"D4L1_6";"D4L1";"D4";"L1";"44A";71;15;8.5;1;24.5;0;25.5
"D2L1_4";"D2L1";"D2";"L1";"44A";75;15;9.5;1;18;1;21.5
"D2L1_5";"D2L1";"D2";"L1";"44A";75;15;10.5;1;21.5;1;23.5
"D2L1_6";"D2L1";"D2";"L1";"44A";75;15;11.5;0;25.5;0;25.5
"D2L2_4";"D2L2";"D2";"L2";"44A";79;15;12.5;0;25.5;0;25.5
"D2L2_5";"D2L2";"D2";"L2";"44A";79;15;13.5;0;25.5;0;25.5
"D2L2_6";"D2L2";"D2";"L2";"44A";79;15;14.5;0;25.5;0;25.5
"D3L3_7";"D3L3";"D3";"L3";"44A";67;16;3;0;25.5;0;25.5
"D3L3_8";"D3L3";"D3";"L3";"44A";67;16;4;0;25.5;0;25.5
"D3L3_9";"D3L3";"D3";"L3";"44A";67;16;5;1;8;1;8.5
"D4L1_7";"D4L1";"D4";"L1";"44A";71;16;6;0;7.5;0;7.5
"D4L1_8";"D4L1";"D4";"L1";"44A";71;16;7;0;25.5;0;25.5
"D4L1_9";"D4L1";"D4";"L1";"44A";71;16;8;1;19;0;25.5
"D2L1_7";"D2L1";"D2";"L1";"44A";75;16;9;0;25.5;0;25.5
"D2L1_8";"D2L1";"D2";"L1";"44A";75;16;10;0;25.5;0;25.5
"D2L1_9";"D2L1";"D2";"L1";"44A";75;16;11;0;10.5;0;10.5
"D2L2_7";"D2L2";"D2";"L2";"44A";79;16;12;0;25.5;0;25.5
"D2L2_8";"D2L2";"D2";"L2";"44A";79;16;13;0;25.5;0;25.5
"D2L2_9";"D2L2";"D2";"L2";"44A";79;16;14;1;18.5;1;24
"D3L3_10";"D3L3";"D3";"L3";"44A";67;17;3.5;0;25.5;0;25.5
"D3L3_11";"D3L3";"D3";"L3";"44A";67;17;4.5;1;21.5;0;25.5
"D3L3_12";"D3L3";"D3";"L3";"44A";67;17;5.5;1;9.5;1;10.5
"D4L1_10";"D4L1";"D4";"L1";"44A";71;17;6.5;1;20.5;1;23
"D4L1_11";"D4L1";"D4";"L1";"44A";71;17;7.5;0;25.5;0;25.5
"D4L1_12";"D4L1";"D4";"L1";"44A";71;17;8.5;1;24.5;0;25.5
"D2L1_10";"D2L1";"D2";"L1";"44A";75;17;9.5;0;7.5;0;7.5
"D2L1_11";"D2L1";"D2";"L1";"44A";75;17;10.5;0;25.5;0;25.5
"D2L1_12";"D2L1";"D2";"L1";"44A";75;17;11.5;0;25.5;0;25.5
"D2L2_10";"D2L2";"D2";"L2";"44A";79;17;12.5;1;15;1;16.5
"D2L2_11";"D2L2";"D2";"L2";"44A";79;17;13.5;0;25.5;0;25.5
"D2L2_12";"D2L2";"D2";"L2";"44A";79;17;14.5;1;24.5;0;25.5
"D3L3_13";"D3L3";"D3";"L3";"44A";67;18;3;0;25.5;0;25.5
"D3L3_14";"D3L3";"D3";"L3";"44A";67;18;4;1;25;1;25.5
"D3L3_15";"D3L3";"D3";"L3";"44A";67;18;5;0;25.5;0;25.5
"D4L1_13";"D4L1";"D4";"L1";"44A";71;18;6;1;18.5;1;23
"D4L1_14";"D4L1";"D4";"L1";"44A";71;18;7;1;22.5;1;25.5
"D4L1_15";"D4L1";"D4";"L1";"44A";71;18;8;0;25.5;0;25.5
"D2L1_13";"D2L1";"D2";"L1";"44A";75;18;9;1;22.5;0;25.5
"D2L1_14";"D2L1";"D2";"L1";"44A";75;18;10;1;24.5;0;25.5
"D2L1_15";"D2L1";"D2";"L1";"44A";75;18;11;0;25.5;0;25.5
"D2L2_13";"D2L2";"D2";"L2";"44A";79;18;12;1;25.5;0;25.5
"D2L2_14";"D2L2";"D2";"L2";"44A";79;18;13;0;25.5;0;25.5
"D2L2_15";"D2L2";"D2";"L2";"44A";79;18;14;0;25.5;0;25.5
"D3L3_16";"D3L3";"D3";"L3";"44A";66;19;3.5;1;19.5;1;21.5
"D3L3_17";"D3L3";"D3";"L3";"44A";66;19;4.5;1;2.5;1;3.5
"D3L3_18";"D3L3";"D3";"L3";"44A";66;19;5.5;0;25.5;0;25.5
"D2Y1_1";"D2Y1";"D2";"Y1";"44A";70;19;6.5;1;24.5;0;25.5
"D2Y1_2";"D2Y1";"D2";"Y1";"44A";70;19;7.5;1;25.5;0;25.5
"D2Y1_3";"D2Y1";"D2";"Y1";"44A";70;19;8.5;0;25.5;0;25.5
"D3Y1_1";"D3Y1";"D3";"Y1";"44A";74;19;9.5;0;25.5;0;25.5
"D3Y1_2";"D3Y1";"D3";"Y1";"44A";74;19;10.5;0;25.5;0;25.5
"D3Y1_3";"D3Y1";"D3";"Y1";"44A";74;19;11.5;1;24.5;0;25.5
"D3Y1_4";"D3Y1";"D3";"Y1";"44A";78;19;12.5;0;25.5;0;25.5
"D3Y1_5";"D3Y1";"D3";"Y1";"44A";78;19;13.5;1;15.5;1;17
"D3Y1_6";"D3Y1";"D3";"Y1";"44A";78;19;14.5;1;21.5;0;25.5
"D3L3_19";"D3L3";"D3";"L3";"44A";66;20;3;0;16.5;0;16.5
"D3L3_20";"D3L3";"D3";"L3";"44A";66;20;4;1;24.5;0;25.5
"D3L3_21";"D3L3";"D3";"L3";"44A";66;20;5;1;17;1;17.5
"D2Y1_4";"D2Y1";"D2";"Y1";"44A";70;20;6;1;25.5;0;25.5
"D2Y1_5";"D2Y1";"D2";"Y1";"44A";70;20;7;1;24.5;0;25.5
"D2Y1_6";"D2Y1";"D2";"Y1";"44A";70;20;8;1;23;1;25.5
"D3Y1_7";"D3Y1";"D3";"Y1";"44A";74;20;9;1;11.5;1;13.5
"D3Y1_8";"D3Y1";"D3";"Y1";"44A";74;20;10;0;25.5;0;25.5
"D3Y1_9";"D3Y1";"D3";"Y1";"44A";74;20;11;1;20.5;1;24
"D3Y1_10";"D3Y1";"D3";"Y1";"44A";78;20;12;1;15.5;0;25.5
"D3Y1_11";"D3Y1";"D3";"Y1";"44A";78;20;13;1;9.5;1;13.5
"D3Y1_12";"D3Y1";"D3";"Y1";"44A";78;20;14;1;14;1;20.5
"D3L3_22";"D3L3";"D3";"L3";"44A";66;21;3.5;0;25.5;0;25.5
"D3L3_23";"D3L3";"D3";"L3";"44A";66;21;4.5;0;25.5;0;25.5
"D3L3_24";"D3L3";"D3";"L3";"44A";66;21;5.5;0;25.5;0;25.5
"D2Y1_7";"D2Y1";"D2";"Y1";"44A";70;21;6.5;0;7;0;7
"D2Y1_8";"D2Y1";"D2";"Y1";"44A";70;21;7.5;1;14;1;19
"D2Y1_9";"D2Y1";"D2";"Y1";"44A";70;21;8.5;1;24;0;25.5
"D3Y1_13";"D3Y1";"D3";"Y1";"44A";74;21;9.5;0;25.5;0;25.5
"D3Y1_14";"D3Y1";"D3";"Y1";"44A";74;21;10.5;0;25.5;0;25.5
"D3Y1_15";"D3Y1";"D3";"Y1";"44A";74;21;11.5;1;7.5;1;8
"D3Y1_16";"D3Y1";"D3";"Y1";"44A";78;21;12.5;0;25.5;0;25.5
"D3Y1_17";"D3Y1";"D3";"Y1";"44A";78;21;13.5;1;7.5;1;8
"D3Y1_18";"D3Y1";"D3";"Y1";"44A";78;21;14.5;0;25.5;0;25.5
"D3L3_25";"D3L3";"D3";"L3";"44A";66;22;3;1;2.5;1;4.5
"D3L3_26";"D3L3";"D3";"L3";"44A";66;22;4;1;15;1;16
"D3L3_27";"D3L3";"D3";"L3";"44A";66;22;5;0;25.5;0;25.5
"D2Y1_10";"D2Y1";"D2";"Y1";"44A";70;22;6;0;25.5;0;25.5
"D2Y1_11";"D2Y1";"D2";"Y1";"44A";70;22;7;1;23.5;0;25.5
"D2Y1_12";"D2Y1";"D2";"Y1";"44A";70;22;8;0;25;0;25
"D3Y1_19";"D3Y1";"D3";"Y1";"44A";74;22;9;1;12;1;13.5
"D3Y1_20";"D3Y1";"D3";"Y1";"44A";74;22;10;0;25.5;0;25.5
"D3Y1_21";"D3Y1";"D3";"Y1";"44A";74;22;11;1;12;1;14
"D3Y1_22";"D3Y1";"D3";"Y1";"44A";78;22;12;1;21;1;25.5
"D3Y1_23";"D3Y1";"D3";"Y1";"44A";78;22;13;1;21.5;1;25.5
"D3Y1_24";"D3Y1";"D3";"Y1";"44A";78;22;14;0;18.5;0;18.5
"D3L3_28";"D3L3";"D3";"L3";"44A";66;23;3.5;1;24;0;25.5
"D3L3_29";"D3L3";"D3";"L3";"44A";66;23;4.5;1;16;1;16.5
"D3L3_30";"D3L3";"D3";"L3";"44A";66;23;5.5;0;23.5;0;23.5
"D2Y1_13";"D2Y1";"D2";"Y1";"44A";70;23;6.5;0;25.5;0;25.5
"D2Y1_14";"D2Y1";"D2";"Y1";"44A";70;23;7.5;1;23.5;0;25.5
"D2Y1_15";"D2Y1";"D2";"Y1";"44A";70;23;8.5;0;25.5;0;25.5
"D3Y1_25";"D3Y1";"D3";"Y1";"44A";74;23;9.5;0;25.5;0;25.5
"D3Y1_26";"D3Y1";"D3";"Y1";"44A";74;23;10.5;0;25.5;0;25.5
"D3Y1_27";"D3Y1";"D3";"Y1";"44A";74;23;11.5;1;14.5;1;18.5
"D3Y1_28";"D3Y1";"D3";"Y1";"44A";78;23;12.5;1;15;1;18.5
"D3Y1_29";"D3Y1";"D3";"Y1";"44A";78;23;13.5;1;25;0;25.5
"D3Y1_30";"D3Y1";"D3";"Y1";"44A";78;23;14.5;1;17.5;1;18.5
"D5L2_1";"D5L2";"D5";"L2";"44A";65;24;3;1;11;1;11.5
"D5L2_2";"D5L2";"D5";"L2";"44A";65;24;4;1;25;0;25.5
"D5L2_3";"D5L2";"D5";"L2";"44A";65;24;5;1;25.5;0;25.5
"D5L3_1";"D5L3";"D5";"L3";"44A";69;24;6;1;25;0;25.5
"D5L3_2";"D5L3";"D5";"L3";"44A";69;24;7;1;23;0;25.5
"D5L3_3";"D5L3";"D5";"L3";"44A";69;24;8;1;25.5;0;25.5
"D2L3_1";"D2L3";"D2";"L3";"44A";73;24;9;1;25;0;25.5
"D2L3_2";"D2L3";"D2";"L3";"44A";73;24;10;1;23.5;1;25
"D2L3_3";"D2L3";"D2";"L3";"44A";73;24;11;1;13;1;14
"D4L3_1";"D4L3";"D4";"L3";"44A";77;24;12;1;13;1;13.5
"D4L3_2";"D4L3";"D4";"L3";"44A";77;24;13;1;24.5;0;25.5
"D4L3_3";"D4L3";"D4";"L3";"44A";77;24;14;1;24.5;1;25
"D5L2_4";"D5L2";"D5";"L2";"44A";65;25;3.5;0;25.5;0;25.5
"D5L2_5";"D5L2";"D5";"L2";"44A";65;25;4.5;0;7;0;7
"D5L2_6";"D5L2";"D5";"L2";"44A";65;25;5.5;0;25.5;0;25.5
"D5L3_4";"D5L3";"D5";"L3";"44A";69;25;6.5;1;17.5;1;20.5
"D5L3_5";"D5L3";"D5";"L3";"44A";69;25;7.5;0;25.5;0;25.5
"D5L3_6";"D5L3";"D5";"L3";"44A";69;25;8.5;1;23;1;25.5
"D2L3_4";"D2L3";"D2";"L3";"44A";73;25;9.5;1;23;0;25.5
"D2L3_5";"D2L3";"D2";"L3";"44A";73;25;10.5;1;24;0;25.5
"D2L3_6";"D2L3";"D2";"L3";"44A";73;25;11.5;0;25.5;0;25.5
"D4L3_4";"D4L3";"D4";"L3";"44A";77;25;12.5;1;15.5;1;18
"D4L3_5";"D4L3";"D4";"L3";"44A";77;25;13.5;1;6.5;1;8
"D4L3_6";"D4L3";"D4";"L3";"44A";77;25;14.5;0;25.5;0;25.5
"D5L2_7";"D5L2";"D5";"L2";"44A";65;26;3;0;25.5;0;25.5
"D5L2_8";"D5L2";"D5";"L2";"44A";65;26;4;1;24.5;0;25.5
"D5L2_9";"D5L2";"D5";"L2";"44A";65;26;5;1;23;1;25
"D5L3_7";"D5L3";"D5";"L3";"44A";69;26;6;1;15;1;15.5
"D5L3_8";"D5L3";"D5";"L3";"44A";69;26;7;0;25.5;0;25.5
"D5L3_9";"D5L3";"D5";"L3";"44A";69;26;8;1;22.5;1;25.5
"D2L3_7";"D2L3";"D2";"L3";"44A";73;26;9;1;21.5;1;23
"D2L3_8";"D2L3";"D2";"L3";"44A";73;26;10;0;25.5;0;25.5
"D2L3_9";"D2L3";"D2";"L3";"44A";73;26;11;0;25;0;25
"D4L3_7";"D4L3";"D4";"L3";"44A";77;26;12;1;6.5;1;7
"D4L3_8";"D4L3";"D4";"L3";"44A";77;26;13;1;17.5;1;19
"D4L3_9";"D4L3";"D4";"L3";"44A";77;26;14;1;12.5;1;14
"D5L2_10";"D5L2";"D5";"L2";"44A";65;27;3.5;1;23;0;25.5
"D5L2_11";"D5L2";"D5";"L2";"44A";65;27;4.5;0;25.5;0;25.5
"D5L2_12";"D5L2";"D5";"L2";"44A";65;27;5.5;1;24.5;0;25.5
"D5L3_10";"D5L3";"D5";"L3";"44A";69;27;6.5;1;24.5;0;25.5
"D5L3_11";"D5L3";"D5";"L3";"44A";69;27;7.5;1;21.5;1;25
"D5L3_12";"D5L3";"D5";"L3";"44A";69;27;8.5;0;25.5;0;25.5
"D2L3_10";"D2L3";"D2";"L3";"44A";73;27;9.5;1;24.5;0;25.5
"D2L3_11";"D2L3";"D2";"L3";"44A";73;27;10.5;1;24.5;0;25.5
"D2L3_12";"D2L3";"D2";"L3";"44A";73;27;11.5;1;7.5;1;8.5
"D4L3_10";"D4L3";"D4";"L3";"44A";77;27;12.5;1;7;1;7.5
"D4L3_11";"D4L3";"D4";"L3";"44A";77;27;13.5;1;18.5;1;21
"D4L3_12";"D4L3";"D4";"L3";"44A";77;27;14.5;1;24.5;1;25
"D5L2_13";"D5L2";"D5";"L2";"44A";65;28;3;1;24.5;0;25.5
"D5L2_14";"D5L2";"D5";"L2";"44A";65;28;4;0;25.5;0;25.5
"D5L2_15";"D5L2";"D5";"L2";"44A";65;28;5;1;24.5;0;25.5
"D5L3_13";"D5L3";"D5";"L3";"44A";69;28;6;0;25.5;0;25.5
"D5L3_14";"D5L3";"D5";"L3";"44A";69;28;7;1;17;1;19
"D5L3_15";"D5L3";"D5";"L3";"44A";69;28;8;1;24.5;0;25.5
"D2L3_13";"D2L3";"D2";"L3";"44A";73;28;9;1;24.5;0;25.5
"D2L3_14";"D2L3";"D2";"L3";"44A";73;28;10;1;24.5;0;25.5
"D2L3_15";"D2L3";"D2";"L3";"44A";73;28;11;1;22.5;0;25.5
"D4L3_13";"D4L3";"D4";"L3";"44A";77;28;12;1;15;1;15.5
"D4L3_14";"D4L3";"D4";"L3";"44A";77;28;13;1;24.5;0;25.5
"D4L3_15";"D4L3";"D4";"L3";"44A";77;28;14;1;24.5;0;25.5
"D4L1_16";"D4L1";"D4";"L1";"44A";52;29;3.5;0;25.5;0;25.5
"D4L1_17";"D4L1";"D4";"L1";"44A";52;29;4.5;0;25.5;0;25.5
"D4L1_18";"D4L1";"D4";"L1";"44A";52;29;5.5;0;25.5;0;25.5
"D5L3_16";"D5L3";"D5";"L3";"44A";56;29;6.5;1;10.5;1;11.5
"D5L3_17";"D5L3";"D5";"L3";"44A";56;29;7.5;1;14;1;14.5
"D5L3_18";"D5L3";"D5";"L3";"44A";56;29;8.5;0;25.5;0;25.5
"D1Y1_16";"D1Y1";"D1";"Y1";"44A";60;29;9.5;0;25.5;0;25.5
"D1Y1_17";"D1Y1";"D1";"Y1";"44A";60;29;10.5;0;25.5;0;25.5
"D1Y1_18";"D1Y1";"D1";"Y1";"44A";60;29;11.5;1;18.5;1;19
"D1L3_16";"D1L3";"D1";"L3";"44A";64;29;12.5;0;25.5;0;25.5
"D1L3_17";"D1L3";"D1";"L3";"44A";64;29;13.5;0;25.5;0;25.5
"D1L3_18";"D1L3";"D1";"L3";"44A";64;29;14.5;1;10.5;1;12
"D4L1_19";"D4L1";"D4";"L1";"44A";52;30;3;1;10.5;1;11.5
"D4L1_20";"D4L1";"D4";"L1";"44A";52;30;4;1;19.5;1;23
"D4L1_21";"D4L1";"D4";"L1";"44A";52;30;5;0;25.5;0;25.5
"D5L3_19";"D5L3";"D5";"L3";"44A";56;30;6;1;14;1;18
"D5L3_20";"D5L3";"D5";"L3";"44A";56;30;7;1;8.5;1;15
"D5L3_21";"D5L3";"D5";"L3";"44A";56;30;8;1;16.5;1;24.5
"D1Y1_19";"D1Y1";"D1";"Y1";"44A";60;30;9;0;25.5;0;25.5
"D1Y1_20";"D1Y1";"D1";"Y1";"44A";60;30;10;0;25.5;0;25.5
"D1Y1_21";"D1Y1";"D1";"Y1";"44A";60;30;11;1;5;1;7
"D1L3_19";"D1L3";"D1";"L3";"44A";64;30;12;0;25.5;0;25.5
"D1L3_20";"D1L3";"D1";"L3";"44A";64;30;13;0;6;0;6
"D1L3_21";"D1L3";"D1";"L3";"44A";64;30;14;1;7;1;8
"D4L1_22";"D4L1";"D4";"L1";"44A";52;31;3.5;0;7;0;7
"D4L1_23";"D4L1";"D4";"L1";"44A";52;31;4.5;1;24.5;0;25.5
"D4L1_24";"D4L1";"D4";"L1";"44A";52;31;5.5;0;25.5;0;25.5
"D5L3_22";"D5L3";"D5";"L3";"44A";56;31;6.5;1;14;1;18.5
"D5L3_23";"D5L3";"D5";"L3";"44A";56;31;7.5;0;25.5;0;25.5
"D5L3_24";"D5L3";"D5";"L3";"44A";56;31;8.5;0;25.5;0;25.5
"D1Y1_22";"D1Y1";"D1";"Y1";"44A";60;31;9.5;1;25.5;0;25.5
"D1Y1_23";"D1Y1";"D1";"Y1";"44A";60;31;10.5;0;25.5;0;25.5
"D1Y1_24";"D1Y1";"D1";"Y1";"44A";60;31;11.5;0;25.5;0;25.5
"D1L3_22";"D1L3";"D1";"L3";"44A";64;31;12.5;0;25.5;0;25.5
"D1L3_23";"D1L3";"D1";"L3";"44A";64;31;13.5;1;14;1;14.5
"D1L3_24";"D1L3";"D1";"L3";"44A";64;31;14.5;1;8.5;1;9.5
"D4L1_25";"D4L1";"D4";"L1";"44A";52;32;3;1;17.5;1;22
"D4L1_26";"D4L1";"D4";"L1";"44A";52;32;4;1;23.5;0;25.5
"D4L1_27";"D4L1";"D4";"L1";"44A";52;32;5;0;25.5;0;25.5
"D5L3_25";"D5L3";"D5";"L3";"44A";56;32;6;0;25.5;0;25.5
"D5L3_26";"D5L3";"D5";"L3";"44A";56;32;7;0;25.5;0;25.5
"D5L3_27";"D5L3";"D5";"L3";"44A";56;32;8;0;7.5;0;7.5
"D1Y1_25";"D1Y1";"D1";"Y1";"44A";60;32;9;0;25.5;0;25.5
"D1Y1_26";"D1Y1";"D1";"Y1";"44A";60;32;10;0;25.5;0;25.5
"D1Y1_27";"D1Y1";"D1";"Y1";"44A";60;32;11;0;25.5;0;25.5
"D1L3_25";"D1L3";"D1";"L3";"44A";64;32;12;1;22.5;1;23
"D1L3_26";"D1L3";"D1";"L3";"44A";64;32;13;1;19;1;23
"D1L3_27";"D1L3";"D1";"L3";"44A";64;32;14;1;7.5;1;8.5
"D4L1_28";"D4L1";"D4";"L1";"44A";52;33;3.5;0;25.5;0;25.5
"D4L1_29";"D4L1";"D4";"L1";"44A";52;33;4.5;1;23;0;25.5
