palm_id,t,status,at_risk,deg,n_nb_obs,n_nb_sympt,n_nb_dead,prev_global
D2L2_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_6,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_7,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_9,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_10,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_12,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_13,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_15,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_16,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_18,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_1,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_3,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_1,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_3,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_6,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_19,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_21,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_12,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_22,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_24,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_16,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_18,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_25,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_27,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_19,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_21,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_22,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_24,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_28,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_30,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D2Y1_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_25,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_26,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_27,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_28,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_29,0.5,A,1,6,6,0,0,0.0008333333333333334
D3Y1_30,0.5,A,1,3,3,0,0,0.0008333333333333334
D5L2_1,0.5,A,1,3,3,0,0,0.0008333333333333334
D5L2_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_3,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_1,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_3,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_1,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_3,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_1,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_3,0.5,A,1,5,5,0,0,0.0008333333333333334
D5L2_4,0.5,A,1,5,5,0,0,0.0008333333333333334
D5L2_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_6,0.5,A,1,3,3,0,0,0.0008333333333333334
D5L2_7,0.5,A,1,3,3,0,0,0.0008333333333333334
D5L2_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_9,0.5,A,1,5,5,0,0,0.0008333333333333334
D5L2_10,0.5,A,1,5,5,0,0,0.0008333333333333334
D5L2_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_12,0.5,A,1,3,3,0,0,0.0008333333333333334
D5L2_13,0.5,A,1,3,3,0,0,0.0008333333333333334
D5L2_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L2_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L3_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L3_15,0.5,A,1,5,5,0,0,0.0008333333333333334
D4L1_16,0.5,A,1,5,5,0,0,0.0008333333333333334
D4L1_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_18,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_16,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_18,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_16,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_18,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_16,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_17,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_18,0.5,A,1,3,3,0,0,0.0008333333333333334
D4L1_19,0.5,A,1,3,3,0,0,0.0008333333333333334
D4L1_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_21,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_19,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_21,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_19,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_21,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_19,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_20,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_21,0.5,A,1,5,5,0,0,0.0008333333333333334
D4L1_22,0.5,A,1,5,5,0,0,0.0008333333333333334
D4L1_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_24,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_22,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D5L3_24,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_22,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_24,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_22,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_23,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_24,0.5,A,1,3,3,0,0,0.0008333333333333334
