palm_id,progeny,ga_parent,gb_parent,parcel,plot,xm,ym,event_t1s,y_t1s,event_td,y_td,fold
D3L3_2,D3L3,D3,L3,44A,67,12.124355652982143,4.0,0,25.5,0,25.5,44A
D3L3_3,D3L3,D3,L3,44A,67,12.124355652982143,5.0,0,25.5,0,25.5,44A
D4L1_1,D4L1,D4,L1,44A,71,12.124355652982143,6.0,0,25.5,0,25.5,44A
D4L1_2,D4L1,D4,L1,44A,71,12.124355652982143,7.0,1,25.5,0,25.5,44A
D4L1_3,D4L1,D4,L1,44A,71,12.124355652982143,8.0,0,25.5,0,25.5,44A
D2L1_1,D2L1,D2,L1,44A,75,12.124355652982143,9.0,1,23.0,1,25.0,44A
D2L1_2,D2L1,D2,L1,44A,75,12.124355652982143,10.0,0,25.5,0,25.5,44A
D2L1_3,D2L1,D2,L1,44A,75,12.124355652982143,11.0,1,21.5,1,24.5,44A
D2L2_1,D2L2,D2,L2,44A,79,12.124355652982143,12.0,0,25.5,0,25.5,44A
D2L2_2,D2L2,D2,L2,44A,79,12.124355652982143,13.0,1,25.5,0,25.5,44A
D2L2_3,D2L2,D2,L2,44A,79,12.124355652982143,14.0,0,25.5,0,25.5,44A
D3L3_4,D3L3,D3,L3,44A,67,12.99038105676658,3.5,0,25.5,0,25.5,44A
D3L3_5,D3L3,D3,L3,44A,67,12.99038105676658,4.5,0,25.5,0,25.5,44A
D3L3_6,D3L3,D3,L3,44A,67,12.99038105676658,5.5,0,25.5,0,25.5,44A
D4L1_4,D4L1,D4,L1,44A,71,12.99038105676658,6.5,1,18.5,1,24.5,44A
D4L1_5,D4L1,D4,L1,44A,71,12.99038105676658,7.5,1,24.0,0,25.5,44A
D4L1_6,D4L1,D4,L1,44A,71,12.99038105676658,8.5,1,24.5,0,25.5,44A
D2L1_4,D2L1,D2,L1,44A,75,12.99038105676658,9.5,1,18.0,1,21.5,44A
D2L1_5,D2L1,D2,L1,44A,75,12.99038105676658,10.5,1,21.5,1,23.5,44A
D2L1_6,D2L1,D2,L1,44A,75,12.99038105676658,11.5,0,25.5,0,25.5,44A
D2L2_4,D2L2,D2,L2,44A,79,12.99038105676658,12.5,0,25.5,0,25.5,44A
D2L2_5,D2L2,D2,L2,44A,79,12.99038105676658,13.5,0,25.5,0,25.5,44A
D2L2_6,D2L2,D2,L2,44A,79,12.99038105676658,14.5,0,25.5,0,25.5,44A
D3L3_7,D3L3,D3,L3,44A,67,13.85640646055102,3.0,0,25.5,0,25.5,44A
D3L3_8,D3L3,D3,L3,44A,67,13.85640646055102,4.0,0,25.5,0,25.5,44A
D3L3_9,D3L3,D3,L3,44A,67,13.85640646055102,5.0,1,8.0,1,8.5,44A
D4L1_7,D4L1,D4,L1,44A,71,13.85640646055102,6.0,0,7.5,0,7.5,44A
D4L1_8,D4L1,D4,L1,44A,71,13.85640646055102,7.0,0,25.5,0,25.5,44A
D4L1_9,D4L1,D4,L1,44A,71,13.85640646055102,8.0,1,19.0,0,25.5,44A
D2L1_7,D2L1,D2,L1,44A,75,13.85640646055102,9.0,0,25.5,0,25.5,44A
D2L1_8,D2L1,D2,L1,44A,75,13.85640646055102,10.0,0,25.5,0,25.5,44A
D2L1_9,D2L1,D2,L1,44A,75,13.85640646055102,11.0,0,10.5,0,10.5,44A
D2L2_7,D2L2,D2,L2,44A,79,13.85640646055102,12.0,0,25.5,0,25.5,44A
D2L2_8,D2L2,D2,L2,44A,79,13.85640646055102,13.0,0,25.5,0,25.5,44A
D2L2_9,D2L2,D2,L2,44A,79,13.85640646055102,14.0,1,18.5,1,24.0,44A
D3L3_10,D3L3,D3,L3,44A,67,14.722431864335459,3.5,0,25.5,0,25.5,44A
D3L3_11,D3L3,D3,L3,44A,67,14.722431864335459,4.5,1,21.5,0,25.5,44A
D3L3_12,D3L3,D3,L3,44A,67,14.722431864335459,5.5,1,9.5,1,10.5,44A
D4L1_10,D4L1,D4,L1,44A,71,14.722431864335459,6.5,1,20.5,1,23.0,44A
D4L1_11,D4L1,D4,L1,44A,71,14.722431864335459,7.5,0,25.5,0,25.5,44A
D4L1_12,D4L1,D4,L1,44A,71,14.722431864335459,8.5,1,24.5,0,25.5,44A
D2L1_10,D2L1,D2,L1,44A,75,14.722431864335459,9.5,0,7.5,0,7.5,44A
D2L1_11,D2L1,D2,L1,44A,75,14.722431864335459,10.5,0,25.5,0,25.5,44A
D2L1_12,D2L1,D2,L1,44A,75,14.722431864335459,11.5,0,25.5,0,25.5,44A
D2L2_10,D2L2,D2,L2,44A,79,14.722431864335459,12.5,1,15.0,1,16.5,44A
D2L2_11,D2L2,D2,L2,44A,79,14.722431864335459,13.5,0,25.5,0,25.5,44A
D2L2_12,D2L2,D2,L2,44A,79,14.722431864335459,14.5,1,24.5,0,25.5,44A
D3L3_13,D3L3,D3,L3,44A,67,15.588457268119896,3.0,0,25.5,0,25.5,44A
D3L3_14,D3L3,D3,L3,44A,67,15.588457268119896,4.0,1,25.0,1,25.5,44A
D3L3_15,D3L3,D3,L3,44A,67,15.588457268119896,5.0,0,25.5,0,25.5,44A
D4L1_13,D4L1,D4,L1,44A,71,15.588457268119896,6.0,1,18.5,1,23.0,44A
D4L1_14,D4L1,D4,L1,44A,71,15.588457268119896,7.0,1,22.5,1,25.5,44A
D4L1_15,D4L1,D4,L1,44A,71,15.588457268119896,8.0,0,25.5,0,25.5,44A
D2L1_13,D2L1,D2,L1,44A,75,15.588457268119896,9.0,1,22.5,0,25.5,44A
D2L1_14,D2L1,D2,L1,44A,75,15.588457268119896,10.0,1,24.5,0,25.5,44A
D2L1_15,D2L1,D2,L1,44A,75,15.588457268119896,11.0,0,25.5,0,25.5,44A
D2L2_13,D2L2,D2,L2,44A,79,15.588457268119896,12.0,1,25.5,0,25.5,44A
D2L2_14,D2L2,D2,L2,44A,79,15.588457268119896,13.0,0,25.5,0,25.5,44A
D2L2_15,D2L2,D2,L2,44A,79,15.588457268119896,14.0,0,25.5,0,25.5,44A
D3L3_16,D3L3,D3,L3,44A,66,16.454482671904337,3.5,1,19.5,1,21.5,44A
D3L3_17,D3L3,D3,L3,44A,66,16.454482671904337,4.5,1,2.5,1,3.5,44A
D3L3_18,D3L3,D3,L3,44A,66,16.454482671904337,5.5,0,25.5,0,25.5,44A
D2Y1_1,D2Y1,D2,Y1,44A,70,16.454482671904337,6.5,1,24.5,0,25.5,44A
D2Y1_2,D2Y1,D2,Y1,44A,70,16.454482671904337,7.5,1,25.5,0,25.5,44A
D2Y1_3,D2Y1,D2,Y1,44A,70,16.454482671904337,8.5,0,25.5,0,25.5,44A
D3Y1_1,D3Y1,D3,Y1,44A,74,16.454482671904337,9.5,0,25.5,0,25.5,44A
D3Y1_2,D3Y1,D3,Y1,44A,74,16.454482671904337,10.5,0,25.5,0,25.5,44A
D3Y1_3,D3Y1,D3,Y1,44A,74,16.454482671904337,11.5,1,24.5,0,25.5,44A
D3Y1_4,D3Y1,D3,Y1,44A,78,16.454482671904337,12.5,0,25.5,0,25.5,44A
D3Y1_5,D3Y1,D3,Y1,44A,78,16.454482671904337,13.5,1,15.5,1,17.0,44A
D3Y1_6,D3Y1,D3,Y1,44A,78,16.454482671904337,14.5,1,21.5,0,25.5,44A
D3L3_19,D3L3,D3,L3,44A,66,17.320508075688775,3.0,0,16.5,0,16.5,44A
D3L3_20,D3L3,D3,L3,44A,66,17.320508075688775,4.0,1,24.5,0,25.5,44A
D3L3_21,D3L3,D3,L3,44A,66,17.320508075688775,5.0,1,17.0,1,17.5,44A
D2Y1_4,D2Y1,D2,Y1,44A,70,17.320508075688775,6.0,1,25.5,0,25.5,44A
D2Y1_5,D2Y1,D2,Y1,44A,70,17.320508075688775,7.0,1,24.5,0,25.5,44A
D2Y1_6,D2Y1,D2,Y1,44A,70,17.320508075688775,8.0,1,23.0,1,25.5,44A
D3Y1_7,D3Y1,D3,Y1,44A,74,17.320508075688775,9.0,1,11.5,1,13.5,44A
D3Y1_8,D3Y1,D3,Y1,44A,74,17.320508075688775,10.0,0,25.5,0,25.5,44A
D3Y1_9,D3Y1,D3,Y1,44A,74,17.320508075688775,11.0,1,20.5,1,24.0,44A
D3Y1_10,D3Y1,D3,Y1,44A,78,17.320508075688775,12.0,1,15.5,0,25.5,44A
D3Y1_11,D3Y1,D3,Y1,44A,78,17.320508075688775,13.0,1,9.5,1,13.5,44A
D3Y1_12,D3Y1,D3,Y1,44A,78,17.320508075688775,14.0,1,14.0,1,20.5,44A
D3L3_22,D3L3,D3,L3,44A,66,18.186533479473212,3.5,0,25.5,0,25.5,44A
D3L3_23,D3L3,D3,L3,44A,66,18.186533479473212,4.5,0,25.5,0,25.5,44A
D3L3_24,D3L3,D3,L3,44A,66,18.186533479473212,5.5,0,25.5,0,25.5,44A
D2Y1_7,D2Y1,D2,Y1,44A,70,18.186533479473212,6.5,0,7.0,0,7.0,44A
D2Y1_8,D2Y1,D2,Y1,44A,70,18.186533479473212,7.5,1,14.0,1,19.0,44A
D2Y1_9,D2Y1,D2,Y1,44A,70,18.186533479473212,8.5,1,24.0,0,25.5,44A
D3Y1_13,D3Y1,D3,Y1,44A,74,18.186533479473212,9.5,0,25.5,0,25.5,44A
D3Y1_14,D3Y1,D3,Y1,44A,74,18.186533479473212,10.5,0,25.5,0,25.5,44A
D3Y1_15,D3Y1,D3,Y1,44A,74,18.186533479473212,11.5,1,7.5,1,8.0,44A
D3Y1_16,D3Y1,D3,Y1,44A,78,18.186533479473212,12.5,0,25.5,0,25.5,44A
D3Y1_17,D3Y1,D3,Y1,44A,78,18.186533479473212,13.5,1,7.5,1,8.0,44A
D3Y1_18,D3Y1,D3,Y1,44A,78,18.186533479473212,14.5,0,25.5,0,25.5,44A
D3L3_25,D3L3,D3,L3,44A,66,19.052558883257653,3.0,1,2.5,1,4.5,44A
D3L3_26,D3L3,D3,L3,44A,66,19.052558883257653,4.0,1,15.0,1,16.0,44A
D3L3_27,D3L3,D3,L3,44A,66,19.052558883257653,5.0,0,25.5,0,25.5,44A
D2Y1_10,D2Y1,D2,Y1,44A,70,19.052558883257653,6.0,0,25.5,0,25.5,44A
D2Y1_11,D2Y1,D2,Y1,44A,70,19.052558883257653,7.0,1,23.5,0,25.5,44A
D2Y1_12,D2Y1,D2,Y1,44A,70,19.052558883257653,8.0,0,25.0,0,25.0,44A
D3Y1_19,D3Y1,D3,Y1,44A,74,19.052558883257653,9.0,1,12.0,1,13.5,44A
D3Y1_20,D3Y1,D3,Y1,44A,74,19.052558883257653,10.0,0,25.5,0,25.5,44A
D3Y1_21,D3Y1,D3,Y1,44A,74,19.052558883257653,11.0,1,12.0,1,14.0,44A
D3Y1_22,D3Y1,D3,Y1,44A,78,19.052558883257653,12.0,1,21.0,1,25.5,44A
D3Y1_23,D3Y1,D3,Y1,44A,78,19.052558883257653,13.0,1,21.5,1,25.5,44A
D3Y1_24,D3Y1,D3,Y1,44A,78,19.052558883257653,14.0,0,18.5,0,18.5,44A
D3L3_28,D3L3,D3,L3,44A,66,19.91858428704209,3.5,1,24.0,0,25.5,44A
