epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.322,1.34589,2.29934,1.20673,0.96795,0.39592,0.44184,0.25531,1.52378,1.65029,1.14718,0.000549755,0.000549755,0.000549755
2,177.311,1.08093,0.7886,1.02793,0.94781,0.41562,0.43049,0.24531,1.49347,0.99252,1.18386,0.00106894,0.00106894,0.00106894
3,270.176,1.05886,0.62708,1.02181,0.94362,0.43859,0.44617,0.26077,1.51431,0.79668,1.18925,0.00155146,0.00155146,0.00155146
4,361.365,1.02347,0.59092,1.01333,0.95882,0.44057,0.45346,0.25718,1.53913,0.72583,1.22509,0.00150197,0.00150197,0.00150197
5,453.16,0.9658,0.54547,0.99472,0.4676,0.45669,0.45306,0.2664,1.42803,0.80728,1.16647,0.00144696,0.00144696,0.00144696
6,545.078,0.93096,0.50309,0.9746,0.56176,0.4883,0.47889,0.26729,1.49324,0.67185,1.24119,0.00139195,0.00139195,0.00139195
7,636.528,0.89014,0.46599,0.96593,0.53514,0.53442,0.49747,0.27907,1.46693,0.65404,1.26435,0.00133693,0.00133693,0.00133693
8,728.268,0.85785,0.44273,0.9549,0.60134,0.49246,0.49206,0.26797,1.56175,0.68075,1.32956,0.00128192,0.00128192,0.00128192
9,820.007,0.80719,0.41844,0.93582,0.60162,0.54478,0.5054,0.26822,1.52274,0.62729,1.31204,0.00122691,0.00122691,0.00122691
10,911.181,0.76669,0.40245,0.92373,0.73475,0.56154,0.60104,0.3305,1.49614,0.61096,1.30695,0.0011719,0.0011719,0.0011719
11,1002.92,0.74403,0.39484,0.91598,0.66636,0.57292,0.55275,0.29288,1.52922,0.63112,1.32947,0.00111689,0.00111689,0.00111689
12,1094.19,0.71907,0.38696,0.9066,0.59986,0.55326,0.51015,0.26424,1.60652,0.65387,1.3816,0.00106188,0.00106188,0.00106188
13,1185.14,0.67252,0.36434,0.89648,0.62899,0.57328,0.55705,0.30813,1.57297,0.63074,1.4209,0.00100687,0.00100687,0.00100687
14,1287.32,0.6355,0.35207,0.88447,0.62955,0.58409,0.55867,0.30993,1.52197,0.61566,1.36751,0.000951857,0.000951857,0.000951857
15,1378.38,0.6144,0.344,0.87517,0.53663,0.56895,0.50392,0.28524,1.53062,0.60941,1.36873,0.000896846,0.000896846,0.000896846
16,1470.12,0.59575,0.33812,0.87285,0.61624,0.56412,0.53672,0.30247,1.49677,0.60923,1.36853,0.000841835,0.000841835,0.000841835
17,1562.15,0.60119,0.33866,0.87289,0.65005,0.5651,0.55538,0.31209,1.55773,0.60114,1.42784,0.000786824,0.000786824,0.000786824
18,1653.49,0.5538,0.32188,0.86107,0.66,0.62706,0.60533,0.33633,1.48154,0.5923,1.34203,0.000731813,0.000731813,0.000731813
19,1745.15,0.53557,0.31282,0.85664,0.65625,0.55829,0.55948,0.31345,1.56033,0.61277,1.42352,0.000676802,0.000676802,0.000676802
20,1841.03,0.51718,0.30447,0.85175,0.68458,0.55774,0.58851,0.33372,1.52332,0.63419,1.40994,0.000621791,0.000621791,0.000621791
21,1930.48,0.49218,0.30612,0.84661,0.6576,0.57512,0.57006,0.31899,1.54533,0.62649,1.50007,0.00056678,0.00056678,0.00056678
22,2019.44,0.46459,0.28754,0.83677,0.63654,0.5514,0.54269,0.30085,1.53355,0.61104,1.46823,0.000511769,0.000511769,0.000511769
23,2106.37,0.42489,0.27279,0.83005,0.66313,0.60492,0.58483,0.32814,1.48287,0.57987,1.43562,0.000456758,0.000456758,0.000456758
24,2191.62,0.39927,0.25931,0.82377,0.70664,0.59182,0.58427,0.3225,1.5747,0.61889,1.5305,0.000401747,0.000401747,0.000401747
25,2276.1,0.38212,0.25309,0.81942,0.7089,0.57431,0.58272,0.3162,1.5513,0.59507,1.48066,0.000346736,0.000346736,0.000346736
26,2359.86,0.36735,0.24424,0.81563,0.6775,0.5551,0.56379,0.32277,1.52514,0.60162,1.46671,0.000291725,0.000291725,0.000291725
27,2442.54,0.35863,0.2392,0.81192,0.669,0.58481,0.57939,0.32596,1.52264,0.5988,1.48191,0.000236714,0.000236714,0.000236714
28,2528.51,0.35082,0.23574,0.8112,0.68457,0.53502,0.5502,0.30975,1.55385,0.60422,1.52627,0.000181703,0.000181703,0.000181703
29,2611.49,0.3385,0.23294,0.81011,0.67992,0.56674,0.56995,0.32903,1.52505,0.60503,1.49067,0.000126692,0.000126692,0.000126692
30,2692.04,0.32381,0.22571,0.8066,0.67796,0.57071,0.57089,0.32596,1.53521,0.60664,1.50288,7.1681e-05,7.1681e-05,7.1681e-05
