blok,h,unit,metrik,model,acak,selisih,blok_per_sensus,sensus_dipakai,n
v3-blocks,3,blok,spearman,0.17948823660810115,0.004130891916667669,0.1753573446914335,39.441987179487185,39.5,20
v3-blocks,3,blok,tangkapan_top1,0.036698702877543087,0.03177675585984874,0.004921947017694349,39.441987179487185,39.5,20
v3-blocks,3,blok,tangkapan_top3,0.1046026091717718,0.08756029855687278,0.017042310614899026,39.441987179487185,39.5,20
v3-blocks,3,blok,tangkapan_top5,0.18515408776507672,0.14927203064040478,0.035882057124671934,39.441987179487185,39.5,20
v3-blocks,3,pohon,AP dalam-sensus,0.10151728676563565,0.0632,0.038317286765635644,,,20
