rank,palm_id,parcel,plot,progeny,xm,ym,in_risk_set,status,logit,risk_percentile,risk_decile,n_neighbours,n_sick_neighbours
283,D4L1_50,44B,20,D4L1,19.0526,32.0000,1,A,0.048773,57.97,6,6,1
284,D4L1_17,44A,52,D4L1,25.1147,4.5000,1,A,0.048388,57.82,6,6,1
285,D5L2_14,44A,65,D5L2,24.2487,4.0000,1,A,0.047885,57.68,6,6,1
286,D3L2_38,44A,43,D3L2,48.4974,10.0000,1,A,0.047546,57.53,6,6,2
287,D2L3_33,44A,35,D2L3,46.7654,5.0000,1,A,0.047381,57.38,6,6,0
288,D3L1_39,44A,42,D3L1,52.8275,11.5000,1,A,0.044981,57.23,6,6,2
289,D2L1_92,44B,24,D2L1,19.9186,29.5000,1,A,0.044896,56.93,6,6,2
290,D2L1_91,44B,24,D2L1,19.9186,28.5000,1,A,0.044896,57.08,6,6,2
291,D1Y1_47,44B,22,D1Y1,26.8468,29.5000,1,A,0.044677,56.78,6,6,2
292,D3L2_53,44B,25,D3L2,32.9090,26.0000,1,A,0.043903,56.63,6,6,2
293,D3L2_32,44A,43,D3L2,46.7654,10.0000,1,A,0.041481,56.48,6,6,2
294,D3Y1_58,44A,58,D3Y1,37.2391,9.5000,1,A,0.040962,56.33,6,6,3
295,D4L3_61,44B,3,D4L3,39.8372,31.0000,1,A,0.038951,56.18,6,6,1
296,D3Y1_14,44A,74,D3Y1,18.1865,10.5000,1,A,0.038551,56.04,6,6,3
297,D2Y1_23,44A,61,D2Y1,39.8372,13.0000,1,A,0.037380,55.89,6,6,2
298,D2Y1_71,44B,7,D2Y1,42.4352,29.5000,1,A,0.037380,55.74,6,6,2
299,D2Y1_38,44A,36,D2Y1,44.1673,4.5000,1,A,0.037380,55.59,6,6,2
300,D3L2_52,44B,25,D3L2,32.9090,25.0000,1,A,0.033749,55.44,6,6,1
301,D3Y1_68,44A,39,D3Y1,48.4974,7.0000,1,A,0.033634,55.29,6,6,4
302,D4L3_55,44B,19,D4L3,25.1147,31.5000,1,A,0.032798,55.14,6,6,2
303,D1L3_12,44A,68,D1L3,10.3923,5.0000,1,A,0.029694,54.99,6,6,1
304,D1Y1_50,44B,22,D1Y1,27.7128,29.0000,1,A,0.028468,54.84,6,6,2
305,D4L1_37,44A,41,D4L1,57.1577,9.0000,1,A,0.027478,54.69,6,6,1
306,D1L3_32,44A,40,D1L3,42.4352,7.5000,1,A,0.026780,54.55,6,6,1
307,D4L1_30,44A,52,D4L1,28.5788,5.5000,1,A,0.026458,54.40,6,6,1
308,D3L2_45,44A,43,D3L2,50.2295,11.0000,1,A,0.023997,54.25,6,6,2
309,D2Y1_65,44B,7,D2Y1,40.7032,29.5000,1,A,0.023995,54.10,6,6,2
310,D2Y1_68,44B,7,D2Y1,41.5692,29.0000,1,A,0.023995,53.95,6,6,2
311,D4L1_34,44A,41,D4L1,56.2917,9.5000,1,A,0.022634,53.80,6,6,1
312,D2L3_61,44B,14,D2L3,44.1673,22.5000,1,A,0.022168,53.65,6,5,0
313,D3L2_41,44A,43,D3L2,49.3634,10.5000,1,A,0.022131,53.50,6,6,2
314,D3Y1_122,44B,6,D3Y1,44.1673,29.5000,1,A,0.020119,53.35,6,6,3
315,D3Y1_97,44B,32,D3Y1,19.9186,22.5000,1,A,0.019924,53.20,6,5,4
316,D2Y1_2,44A,70,D2Y1,16.4545,7.5000,1,A,0.019837,53.06,6,6,2
317,D3Y1_48,44A,58,D3Y1,35.5070,11.5000,1,A,0.018630,52.91,6,6,3
318,D3L2_28,44A,57,D3L2,41.5692,9.0000,1,A,0.018139,52.76,6,6,1
319,D3L2_36,44A,43,D3L2,47.6314,11.5000,1,A,0.017916,52.61,6,6,2
320,D2L3_13,44A,73,D2L3,24.2487,9.0000,1,A,0.017451,52.46,6,6,0
321,D2L1_105,44B,24,D2L1,21.6506,30.5000,1,A,0.016879,52.31,6,6,3
322,D3Y1_13,44A,74,D3Y1,18.1865,9.5000,1,A,0.015957,52.16,6,6,3
323,D4L1_66,44B,9,D4L1,49.3634,27.5000,1,A,0.014564,51.86,6,6,1
324,D4L1_72,44B,9,D4L1,51.0955,27.5000,1,A,0.014564,52.01,6,6,1
325,D3Y1_77,44A,46,D3Y1,51.0955,13.5000,1,A,0.014442,51.71,6,6,3
326,D5L3_32,44A,45,D5L3,55.4256,13.0000,1,A,0.012636,51.56,6,6,2
327,D3Y1_85,44A,46,D3Y1,53.6936,12.0000,1,A,0.012300,51.42,6,6,4
328,D2L3_21,44A,51,D2L3,30.3109,5.5000,1,A,0.011444,51.27,6,6,0
329,D1Y1_27,44A,60,D1Y1,27.7128,11.0000,1,A,0.011376,51.12,6,6,1
330,D5L3_39,44A,45,D5L3,57.1577,14.0000,1,A,0.010569,50.97,6,5,3
331,D3Y1_144,44B,5,D3Y1,50.2295,30.0000,1,A,0.009449,50.82,6,6,3
332,D2Y1_56,44B,26,D2Y1,29.4449,26.0000,1,A,0.008876,50.67,6,6,1
333,D4L3_26,44A,53,D4L3,40.7032,7.5000,1,A,0.008873,50.52,6,6,1
334,D3L2_61,44B,16,D3L2,35.5070,22.5000,1,A,0.008790,50.37,6,5,2
335,D5L3_24,44A,56,D5L3,26.8468,8.5000,1,A,0.008454,50.22,6,6,1
336,D4L1_69,44B,9,D4L1,50.2295,27.0000,1,A,0.007994,50.07,6,6,1
337,D1Y1_37,44A,38,D1Y1,52.8275,6.5000,1,A,0.007645,49.93,5,6,2
338,D3Y1_56,44A,50,D3Y1,37.2391,4.5000,1,A,0.006116,49.78,5,6,3
339,D3Y1_80,44A,46,D3Y1,51.9615,13.0000,1,A,0.005751,49.63,5,6,2
340,D3L3_45,44A,49,D3L3,41.5692,5.0000,1,A,0.002333,49.48,5,6,4
341,D3L2_2,44A,80,D3L2,7.7942,13.5000,1,A,0.001416,49.33,5,4,3
342,D2L1_60,44A,44,D2L1,45.8993,11.5000,1,A,-0.000141,49.18,5,6,3
343,D4L3_48,44B,19,D4L3,22.5167,33.0000,1,A,-0.001398,49.03,5,5,1
344,D4L3_50,44B,19,D4L3,23.3827,32.5000,1,A,-0.001742,48.88,5,6,1
345,D2L1_122,44B,8,D2L1,37.2391,29.5000,1,A,-0.001753,48.73,5,6,2
346,D3Y1_46,44A,58,D3Y1,35.5070,9.5000,1,A,-0.001970,48.58,5,6,3
347,D4L3_74,44B,3,D4L3,43.3013,32.0000,1,A,-0.002051,48.44,5,6,1
348,D3L2_37,44A,43,D3L2,48.4974,9.0000,1,A,-0.002827,48.29,5,6,2
349,D3Y1_66,44A,39,D3Y1,47.6314,8.5000,1,A,-0.003452,48.14,5,6,3
350,D1Y1_61,44B,2,D1Y1,44.1673,31.5000,1,A,-0.003612,47.99,5,6,1
351,D3Y1_4,44A,78,D3Y1,16.4545,12.5000,1,A,-0.004020,47.84,5,6,3
352,D3L2_56,44B,25,D3L2,33.7750,26.5000,1,A,-0.004066,47.69,5,6,1
353,D3L1_53,44B,30,D3L1,28.5788,23.5000,1,A,-0.004387,47.54,5,6,1
354,D2L1_123,44B,8,D2L1,37.2391,30.5000,1,A,-0.005272,47.39,5,6,3
355,D3Y1_25,44A,74,D3Y1,19.9186,9.5000,1,A,-0.006148,47.24,5,6,2
356,D2Y1_63,44B,7,D2Y1,39.8372,30.0000,1,A,-0.006978,47.09,5,6,1
357,D5L2_45,44A,33,D5L2,58.8897,5.0000,1,A,-0.007648,46.94,5,4,2
358,D3Y1_79,44A,46,D3Y1,51.9615,12.0000,1,A,-0.010822,46.80,5,6,2
359,D3L3_83,44B,4,D3L3,37.2391,32.5000,1,A,-0.010917,46.65,5,6,6
360,D2L1_112,44B,12,D2L1,36.3731,25.0000,1,A,-0.011935,46.50,5,6,2
361,D3Y1_103,44B,32,D3Y1,21.6506,22.5000,1,A,-0.012704,46.35,5,5,3
362,D1Y1_39,44A,38,D1Y1,52.8275,8.5000,1,A,-0.013517,46.20,5,6,1
363,D2L1_135,44B,8,D2L1,38.9711,30.5000,1,A,-0.013679,46.05,5,6,2
364,D3Y1_64,44A,39,D3Y1,47.6314,6.5000,1,A,-0.013758,45.90,5,6,2
365,D3L1_69,44B,1,D3L1,50.2295,33.0000,1,A,-0.014433,45.75,5,5,2
366,D3Y1_40,44A,58,D3Y1,34.6410,9.0000,1,A,-0.014439,45.60,5,6,2
367,D2L1_58,44A,44,D2L1,45.8993,9.5000,1,A,-0.016852,45.45,5,6,2
368,D2Y1_52,44B,26,D2Y1,28.5788,25.5000,1,A,-0.018155,45.31,5,6,0
369,D2Y1_67,44B,7,D2Y1,41.5692,28.0000,1,A,-0.018581,45.16,5,6,2
370,D5L2_29,44A,59,D5L2,32.9090,10.0000,1,A,-0.019108,45.01,5,6,0
371,D1L3_15,44A,68,D1L3,11.2583,5.5000,1,A,-0.019613,44.86,5,6,1
372,D3Y1_89,44A,46,D3Y1,54.5596,13.5000,1,A,-0.020161,44.71,5,6,3
373,D2Y1_31,44A,36,D2Y1,42.4352,3.5000,1,A,-0.020654,44.56,5,5,3
374,D4L3_30,44A,53,D4L3,41.5692,8.0000,1,A,-0.021051,44.41,5,6,0
375,D5L3_57,44B,31,D5L3,25.1147,24.5000,1,A,-0.022074,44.26,5,6,2
376,D3L2_34,44A,43,D3L2,47.6314,9.5000,1,A,-0.024236,44.11,5,6,1
377,D1Y1_38,44A,38,D1Y1,52.8275,7.5000,1,A,-0.024245,43.96,5,6,1
378,D1Y1_20,44A,60,D1Y1,25.9808,10.0000,1,A,-0.025442,43.67,5,6,1
379,D1Y1_23,44A,60,D1Y1,26.8468,10.5000,1,A,-0.025442,43.82,5,6,1
380,D2L1_16,44A,55,D2L1,29.4449,6.0000,1,A,-0.025861,43.52,5,6,1
381,D2L1_111,44B,8,D2L1,35.5070,30.5000,1,A,-0.026780,43.37,5,6,2
382,D2L1_30,44A,55,D2L1,32.9090,8.0000,1,A,-0.027790,43.22,5,6,2
383,D3Y1_20,44A,74,D3Y1,19.0526,10.0000,1,A,-0.028110,43.07,5,6,2
384,D3Y1_50,44A,50,D3Y1,36.3731,4.0000,1,A,-0.028110,42.92,5,6,2
385,D5L2_15,44A,65,D5L2,24.2487,5.0000,1,A,-0.029372,42.77,5,6,0
386,D3Y1_121,44B,6,D3Y1,44.1673,28.5000,1,A,-0.029681,42.62,5,6,2
387,D3Y1_61,44A,39,D3Y1,46.7654,6.0000,1,A,-0.029683,42.47,5,6,1
388,D2L1_20,44A,55,D2L1,30.3109,7.5000,1,A,-0.031632,42.32,5,6,2
389,D2L1_117,44B,8,D2L1,36.3731,30.0000,1,A,-0.031891,42.18,5,6,2
390,D3L2_39,44A,43,D3L2,48.4974,11.0000,1,A,-0.033556,42.03,5,6,1
391,D2L1_102,44B,28,D2L1,21.6506,27.5000,1,A,-0.033899,41.88,5,6,2
392,D3Y1_71,44A,39,D3Y1,49.3634,7.5000,1,A,-0.034494,41.73,5,6,3
393,D5L2_46,44B,29,D5L2,31.1769,22.0000,1,A,-0.035842,41.58,5,3,2
394,D2L1_6,44A,75,D2L1,12.9904,11.5000,1,A,-0.036159,41.43,5,6,2
395,D3Y1_1,44A,74,D3Y1,16.4545,9.5000,1,A,-0.036205,41.28,5,6,2
396,D5L2_44,44A,33,D5L2,58.8897,4.0000,1,A,-0.037540,41.13,5,4,2
397,D3L1_2,44A,76,D3L1,7.7942,10.5000,1,A,-0.037631,40.98,5,4,3
398,D5L2_27,44A,59,D5L2,32.0429,11.5000,1,A,-0.038730,40.83,5,6,1
399,D1Y1_49,44B,22,D1Y1,27.7128,28.0000,1,A,-0.041670,40.69,5,6,1
400,D2Y1_74,44B,7,D2Y1,43.3013,29.0000,1,A,-0.043175,40.54,5,6,1
401,D2Y1_26,44A,61,D2Y1,40.7032,13.5000,1,A,-0.044124,40.39,5,6,1
402,D3Y1_8,44A,74,D3Y1,17.3205,10.0000,1,A,-0.044682,40.24,5,6,2
403,D3L1_56,44B,30,D3L1,29.4449,23.0000,1,A,-0.044948,40.09,5,6,1
404,D5L2_30,44A,59,D5L2,32.9090,11.0000,1,A,-0.045869,39.94,5,6,0
405,D2L1_132,44B,12,D2L1,38.9711,27.5000,1,A,-0.046578,39.79,4,6,2
406,D3Y1_43,44A,50,D3Y1,35.5070,3.5000,1,A,-0.046876,39.64,4,5,3
407,D2Y1_55,44B,26,D2Y1,29.4449,25.0000,1,A,-0.047223,39.49,4,6,1
408,D4L1_65,44B,9,D4L1,49.3634,26.5000,1,A,-0.048712,39.20,4,6,1
409,D4L1_71,44B,9,D4L1,51.0955,26.5000,1,A,-0.048712,39.34,4,6,1
410,D3Y1_139,44B,5,D3Y1,49.3634,28.5000,1,A,-0.049222,39.05,4,6,2
411,D2L1_19,44A,55,D2L1,30.3109,6.5000,1,A,-0.049281,38.90,4,6,1
412,D3L2_75,44B,16,D3L2,38.9711,24.5000,1,A,-0.049559,38.75,4,6,1
413,D2Y1_4,44A,70,D2Y1,17.3205,6.0000,1,A,-0.050329,38.60,4,6,1
414,D1L3_13,44A,68,D1L3,11.2583,3.5000,1,A,-0.050731,38.45,4,5,2
415,D4L1_45,44A,41,D4L1,58.8897,11.0000,1,A,-0.050765,38.30,4,4,2
416,D2Y1_47,44B,26,D2Y1,26.8468,26.5000,1,A,-0.050880,38.15,4,6,1
417,D3L1_58,44B,30,D3L1,30.3109,22.5000,1,A,-0.051126,38.00,4,5,1
418,D2L3_40,44A,35,D2L3,49.3634,3.5000,1,A,-0.052249,37.85,4,5,0
419,D2L1_24,44A,55,D2L1,31.1769,8.0000,1,A,-0.052664,37.70,4,6,2
420,D1L3_33,44A,40,D1L3,42.4352,8.5000,1,A,-0.053455,37.56,4,6,0
421,D3Y1_126,44B,6,D3Y1,45.0333,30.0000,1,A,-0.056093,37.41,4,6,2
422,D1Y1_34,44A,38,D1Y1,51.9615,6.0000,1,A,-0.056359,37.26,4,6,1
423,D3L3_18,44A,66,D3L3,16.4545,5.5000,1,A,-0.057543,37.11,4,6,3
424,D2L2_18,44A,63,D2L2,29.4449,14.0000,1,A,-0.058449,36.96,4,5,3
425,D3L2_9,44A,80,D3L2,9.5263,14.5000,1,A,-0.058917,36.81,4,3,3
426,D4L3_75,44B,3,D4L3,43.3013,33.0000,1,A,-0.059355,36.66,4,5,1
427,D4L3_54,44B,19,D4L3,24.2487,33.0000,1,A,-0.061462,36.51,4,5,1
428,D3Y1_137,44B,5,D3Y1,48.4974,29.0000,1,A,-0.062322,36.36,4,6,2
429,D2Y1_73,44B,7,D2Y1,43.3013,28.0000,1,A,-0.063581,36.21,4,6,1
430,D2L1_48,44A,44,D2L1,42.4352,11.5000,1,A,-0.064071,36.07,4,6,2
431,D3Y1_143,44B,5,D3Y1,50.2295,29.0000,1,A,-0.064647,35.92,4,6,2
432,D2L1_14,44A,75,D2L1,15.5885,10.0000,1,A,-0.065517,35.77,4,6,1
433,D2Y1_10,44A,70,D2Y1,19.0526,6.0000,1,A,-0.065547,35.62,4,6,1
434,D2L1_100,44B,28,D2L1,21.6506,25.5000,1,A,-0.068081,35.47,4,6,2
435,D3L3_76,44B,4,D3L3,35.5070,31.5000,1,A,-0.068204,35.32,4,6,3
436,D2L1_66,44A,37,D2L1,56.2917,8.5000,1,A,-0.068836,35.17,4,6,1
437,D2L1_118,44B,12,D2L1,37.2391,25.5000,1,A,-0.071126,35.02,4,6,1
438,D2L1_69,44A,37,D2L1,57.1577,8.0000,1,A,-0.071438,34.87,4,6,1
439,D1L3_75,44B,13,D1L3,51.9615,24.0000,1,A,-0.072717,34.72,4,4,2
440,D2L1_68,44A,37,D2L1,57.1577,7.0000,1,A,-0.072761,34.28,4,6,1
441,D2L1_98,44B,24,D2L1,20.7846,29.0000,1,A,-0.072761,34.43,4,6,1
442,D2L1_126,44B,12,D2L1,38.1051,27.0000,1,A,-0.072761,34.58,4,6,1
443,D1Y1_19,44A,60,D1Y1,25.9808,9.0000,1,A,-0.073561,34.13,4,6,1
444,D1Y1_66,44B,2,D1Y1,45.0333,33.0000,1,A,-0.075368,33.98,4,5,1
445,D2L1_47,44A,44,D2L1,42.4352,10.5000,1,A,-0.075705,33.83,4,6,1
446,D3L3_88,44B,4,D3L3,38.9711,31.5000,1,A,-0.078030,33.68,4,6,3
447,D1Y1_35,44A,38,D1Y1,51.9615,7.0000,1,A,-0.078826,33.53,4,6,1
448,D2L1_124,44B,12,D2L1,38.1051,25.0000,1,A,-0.079624,33.38,4,6,1
449,D1Y1_26,44A,60,D1Y1,27.7128,10.0000,1,A,-0.081939,33.23,4,6,1
450,D2Y1_51,44B,26,D2Y1,27.7128,27.0000,1,A,-0.082421,33.08,4,6,0
451,D2L1_107,44B,12,D2L1,35.5070,26.5000,1,A,-0.083634,32.94,4,6,1
452,D3Y1_54,44A,58,D3Y1,36.3731,11.0000,1,A,-0.084283,32.79,4,6,2
453,D2L2_66,44B,11,D2L2,40.7032,27.5000,1,A,-0.085139,32.64,4,6,3
454,D4L1_51,44B,20,D4L1,19.0526,33.0000,1,A,-0.088134,32.49,4,5,1
455,D4L3_52,44B,19,D4L3,24.2487,31.0000,1,A,-0.088409,32.34,4,6,1
456,D2Y1_61,44B,7,D2Y1,39.8372,28.0000,1,A,-0.090726,32.19,4,6,2
457,D3Y1_3,44A,74,D3Y1,16.4545,11.5000,1,A,-0.090787,32.04,4,6,2
458,D2L1_11,44A,75,D2L1,14.7224,10.5000,1,A,-0.090933,31.89,4,6,0
459,D3Y1_53,44A,58,D3Y1,36.3731,10.0000,1,A,-0.091067,31.74,4,6,2
460,D2L1_27,44A,55,D2L1,32.0429,8.5000,1,A,-0.091107,31.45,4,6,1
461,D2L1_67,44A,37,D2L1,57.1577,6.0000,1,A,-0.091107,31.59,4,6,1
462,D3Y1_145,44B,5,D3Y1,51.0955,28.5000,1,A,-0.092137,31.30,4,6,2
463,D2L2_68,44B,11,D2L2,41.5692,26.0000,1,A,-0.092148,31.15,4,6,3
464,D2L1_70,44A,37,D2L1,58.0237,6.5000,1,A,-0.092675,31.00,4,6,1
465,D3Y1_34,44A,58,D3Y1,33.7750,9.5000,1,A,-0.092773,30.85,4,6,1
466,D4L3_12,44A,77,D4L3,23.3827,14.5000,1,A,-0.093931,30.70,4,3,2
467,D4L3_6,44A,77,D4L3,21.6506,14.5000,1,A,-0.093931,30.55,4,3,2
468,D2L2_57,44B,23,D2L2,25.1147,30.5000,1,A,-0.094522,30.40,4,6,3
469,D3L3_44,44A,49,D3L3,41.5692,4.0000,1,A,-0.094855,30.25,4,6,4
470,D2L1_12,44A,75,D2L1,14.7224,11.5000,1,A,-0.095318,30.10,4,6,1
471,D5L3_43,44A,45,D5L3,58.8897,12.0000,1,A,-0.095755,29.96,4,4,2
472,D2Y1_29,44A,61,D2Y1,41.5692,13.0000,1,A,-0.097398,29.81,3,6,1
473,D3L3_15,44A,67,D3L3,15.5885,5.0000,1,A,-0.101584,29.66,3,6,4
474,D4L1_43,44A,41,D4L1,58.8897,9.0000,1,A,-0.101715,29.51,3,4,1
475,D3L3_73,44B,27,D3L3,25.9808,25.0000,1,A,-0.102111,29.36,3,6,3
476,D3Y1_72,44A,39,D3Y1,49.3634,8.5000,1,A,-0.104971,29.21,3,6,2
477,D2L2_34,44A,47,D2L2,47.6314,12.5000,1,A,-0.107378,29.06,3,6,3
478,D2Y1_44,44A,36,D2Y1,45.8993,4.5000,1,A,-0.108110,28.91,3,6,0
479,D2L2_14,44A,79,D2L2,15.5885,13.0000,1,A,-0.109464,28.76,3,6,2
480,D3Y1_129,44B,6,D3Y1,45.8993,30.5000,1,A,-0.110560,28.61,3,6,2
481,D1Y1_16,44A,60,D1Y1,25.1147,9.5000,1,A,-0.112423,28.46,3,6,0
482,D2L2_74,44B,11,D2L2,43.3013,26.0000,1,A,-0.112482,28.32,3,6,2
483,D5L3_33,44A,45,D5L3,55.4256,14.0000,1,A,-0.113218,28.17,3,5,1
484,D2L1_80,44B,24,D2L1,18.1865,29.5000,1,A,-0.114389,28.02,3,4,2
485,D2Y1_37,44A,36,D2Y1,44.1673,3.5000,1,A,-0.117175,27.87,3,5,1
486,D3Y1_36,44A,58,D3Y1,33.7750,11.5000,1,A,-0.118379,27.72,3,6,1
487,D3L3_6,44A,67,D3L3,12.9904,5.5000,1,A,-0.119464,27.57,3,6,2
488,D2L1_104,44B,24,D2L1,21.6506,29.5000,1,A,-0.119497,27.42,3,6,1
489,D3L1_73,44B,1,D3L1,51.9615,31.0000,1,A,-0.119550,27.27,3,4,1
490,D1L3_14,44A,68,D1L3,11.2583,4.5000,1,A,-0.120540,27.12,3,6,0
491,D2L1_49,44A,44,D2L1,43.3013,9.0000,1,A,-0.120674,26.97,3,6,0
492,D2L1_106,44B,12,D2L1,35.5070,25.5000,1,A,-0.124435,26.83,3,6,1
493,D5L2_31,44A,33,D5L2,55.4256,3.0000,1,A,-0.125291,26.68,3,3,2
494,D2L2_55,44B,23,D2L2,25.1147,28.5000,1,A,-0.126729,26.53,3,6,3
495,D3L1_24,44A,62,D3L1,35.5070,14.5000,1,A,-0.127010,26.38,3,3,2
496,D3Y1_130,44B,6,D3Y1,46.7654,28.0000,1,A,-0.128929,26.23,3,6,1
497,D3Y1_134,44B,6,D3Y1,47.6314,29.5000,1,A,-0.129589,26.08,3,6,2
498,D2Y1_41,44A,36,D2Y1,45.0333,4.0000,1,A,-0.129692,25.93,3,6,0
499,D2L1_22,44A,55,D2L1,31.1769,6.0000,1,A,-0.130169,25.78,3,6,0
500,D3Y1_136,44B,5,D3Y1,48.4974,28.0000,1,A,-0.130611,25.63,3,6,1
501,D2L1_25,44A,55,D2L1,32.0429,6.5000,1,A,-0.131281,25.48,3,6,1
502,D2L2_75,44B,11,D2L2,43.3013,27.0000,1,A,-0.131557,25.34,3,6,2
503,D3Y1_2,44A,74,D3Y1,16.4545,10.5000,1,A,-0.131650,25.19,3,6,1
504,D2L2_44,44A,47,D2L2,50.2295,13.0000,1,A,-0.133059,25.04,3,6,2
505,D2Y1_30,44A,61,D2Y1,41.5692,14.0000,1,A,-0.133138,24.89,3,5,1
506,D1L3_1,44A,68,D1L3,7.7942,3.5000,1,A,-0.133577,24.74,3,3,2
507,D2L1_56,44A,44,D2L1,45.0333,10.0000,1,A,-0.135210,24.59,3,6,1
508,D2L1_113,44B,12,D2L1,36.3731,26.0000,1,A,-0.135210,24.44,3,6,1
509,D2L1_119,44B,12,D2L1,37.2391,26.5000,1,A,-0.135210,24.29,3,6,1
510,D4L1_60,44B,20,D4L1,21.6506,33.5000,1,A,-0.138835,24.14,3,3,1
511,D3Y1_55,44A,50,D3Y1,37.2391,3.5000,1,A,-0.141750,23.99,3,5,2
512,D3L3_55,44A,48,D3L3,45.0333,12.0000,1,A,-0.143683,23.85,3,6,2
513,D2Y1_21,44A,61,D2Y1,38.9711,14.5000,1,A,-0.143975,23.70,3,3,3
514,D2L3_31,44A,35,D2L3,46.7654,3.0000,1,A,-0.147246,23.55,3,3,1
515,D1Y1_62,44B,2,D1Y1,44.1673,32.5000,1,A,-0.147345,23.40,3,6,0
516,D2L3_64,44B,14,D2L3,45.0333,22.0000,1,A,-0.149329,23.25,3,3,1
517,D2L3_37,44A,35,D2L3,48.4974,3.0000,1,A,-0.152700,23.10,3,3,1
518,D3Y1_132,44B,6,D3Y1,46.7654,30.0000,1,A,-0.152741,22.95,3,6,2
519,D3L3_35,44A,49,D3L3,38.9711,4.5000,1,A,-0.152751,22.80,3,6,4
520,D2L1_101,44B,28,D2L1,21.6506,26.5000,1,A,-0.154170,22.65,3,6,1
521,D2L1_99,44B,24,D2L1,20.7846,30.0000,1,A,-0.154320,22.50,3,6,1
522,D2L1_26,44A,55,D2L1,32.0429,7.5000,1,A,-0.155678,22.35,3,6,1
523,D3Y1_133,44B,6,D3Y1,47.6314,28.5000,1,A,-0.156091,22.21,3,6,1
524,D2L1_57,44A,44,D2L1,45.0333,11.0000,1,A,-0.157082,22.06,3,6,1
525,D1Y1_22,44A,60,D1Y1,26.8468,9.5000,1,A,-0.158639,21.91,3,6,0
526,D3Y1_127,44B,6,D3Y1,45.8993,28.5000,1,A,-0.158750,21.76,3,6,1
527,D2L2_47,44B,23,D2L2,22.5167,29.0000,1,A,-0.158980,21.61,3,6,2
528,D3L2_42,44A,43,D3L2,49.3634,11.5000,1,A,-0.160745,21.46,3,6,0
529,D2L2_7,44A,79,D2L2,13.8564,12.0000,1,A,-0.161183,21.31,3,6,1
530,D2Y1_70,44B,7,D2Y1,42.4352,28.5000,1,A,-0.162743,21.16,3,6,0
531,D2L2_71,44B,11,D2L2,42.4352,26.5000,1,A,-0.163916,21.01,3,6,2
532,D2L2_46,44B,23,D2L2,22.5167,28.0000,1,A,-0.165281,20.86,3,6,2
533,D3L3_20,44A,66,D3L3,17.3205,4.0000,1,A,-0.166063,20.72,3,6,3
534,D2L1_46,44A,44,D2L1,42.4352,9.5000,1,A,-0.169817,20.57,3,6,0
535,D2L1_79,44B,24,D2L1,18.1865,28.5000,1,A,-0.170344,20.42,3,4,2
536,D2L1_81,44B,24,D2L1,18.1865,30.5000,1,A,-0.170850,20.27,3,4,1
537,D2L1_52,44A,44,D2L1,44.1673,9.5000,1,A,-0.170921,20.12,3,6,0
538,D3Y1_128,44B,6,D3Y1,45.8993,29.5000,1,A,-0.172328,19.97,3,6,1
539,D3Y1_146,44B,5,D3Y1,51.0955,29.5000,1,A,-0.172328,19.82,2,6,1
540,D4L1_75,44B,9,D4L1,51.9615,27.0000,1,A,-0.173260,19.67,2,4,1
541,D3L3_74,44B,27,D3L3,25.9808,26.0000,1,A,-0.182268,19.52,2,6,2
542,D3L1_52,44B,30,D3L1,28.5788,22.5000,1,A,-0.182716,19.37,2,5,0
543,D3L3_24,44A,66,D3L3,18.1865,5.5000,1,A,-0.182762,19.23,2,6,1
544,D2L2_13,44A,79,D2L2,15.5885,12.0000,1,A,-0.183034,19.08,2,6,1
545,D2L2_28,44A,63,D2L2,32.9090,12.0000,1,A,-0.183660,18.93,2,6,1
546,D3Y1_147,44B,5,D3Y1,51.0955,30.5000,1,A,-0.184526,18.78,2,6,1
547,D3L2_15,44A,80,D3L2,11.2583,14.5000,1,A,-0.184850,18.63,2,3,2
548,D3L3_46,44A,48,D3L3,42.4352,12.5000,1,A,-0.185049,18.48,2,6,2
549,D4L1_46,44B,20,D4L1,18.1865,31.5000,1,A,-0.185454,18.33,2,4,0
550,D2Y1_43,44A,36,D2Y1,45.8993,3.5000,1,A,-0.186293,18.18,2,5,0
551,D2L2_8,44A,79,D2L2,13.8564,13.0000,1,A,-0.186877,17.88,2,6,2
552,D2L2_11,44A,79,D2L2,14.7224,13.5000,1,A,-0.186877,18.03,2,6,2
553,D2L2_43,44A,47,D2L2,50.2295,12.0000,1,A,-0.189434,17.73,2,6,1
554,D1Y1_46,44B,22,D1Y1,26.8468,28.5000,1,A,-0.189747,17.59,2,6,0
555,D2L2_22,44A,63,D2L2,31.1769,12.0000,1,A,-0.190366,17.44,2,6,2
556,D4L3_57,44B,19,D4L3,25.1147,33.5000,1,A,-0.190989,17.29,2,3,1
557,D2L2_64,44B,11,D2L2,40.7032,25.5000,1,A,-0.191005,17.14,2,6,2
558,D2L2_15,44A,79,D2L2,15.5885,14.0000,1,A,-0.191031,16.99,2,5,2
559,D5L2_13,44A,65,D5L2,24.2487,3.0000,1,A,-0.191594,16.84,2,3,1
560,D3Y1_42,44A,58,D3Y1,34.6410,11.0000,1,A,-0.191912,16.69,2,6,1
561,D2L2_61,44B,11,D2L2,39.8372,25.0000,1,A,-0.193203,16.54,2,6,1
562,D3Y1_18,44A,78,D3Y1,18.1865,14.5000,1,A,-0.194278,16.39,2,3,2
563,D3L3_47,44A,48,D3L3,42.4352,13.5000,1,A,-0.195914,16.24,2,6,2
