rank,palm_id,parcel,plot,progeny,xm,ym,in_risk_set,status,logit,risk_percentile,risk_decile,n_neighbours,n_sick_neighbours
66,D4L3_35,44A,34,D4L3,51.9615,4.0000,1,A,0.204501,90.31,10,6,3
67,D4L1_40,44A,41,D4L1,58.0237,9.5000,1,A,0.203763,90.16,10,6,3
68,D2L1_2,44A,75,D2L1,12.1244,10.0000,1,A,0.203063,90.01,10,6,5
69,D5L2_18,44A,59,D5L2,29.4449,11.0000,1,A,0.202288,89.87,9,6,2
70,D2L3_69,44B,14,D2L3,45.8993,24.5000,1,A,0.201500,89.72,9,6,2
71,D4L1_53,44B,20,D4L1,19.9186,32.5000,1,A,0.200910,89.57,9,6,3
72,D4L3_41,44A,34,D4L3,53.6936,4.0000,1,A,0.200184,89.42,9,6,4
73,D3L2_68,44B,16,D3L2,37.2391,23.5000,1,A,0.199321,89.27,9,6,4
74,D1Y1_59,44B,22,D1Y1,30.3109,29.5000,1,A,0.195834,89.12,9,6,2
75,D4L3_19,44A,53,D4L3,38.9711,6.5000,1,A,0.194528,88.97,9,6,3
76,D3L2_21,44A,57,D3L2,38.9711,11.5000,1,A,0.194157,88.82,9,6,3
77,D5L3_59,44B,31,D5L3,25.9808,23.0000,1,A,0.192065,88.67,9,6,5
78,D2L3_10,44A,73,D2L3,23.3827,9.5000,1,A,0.191491,88.52,9,6,1
79,D4L1_70,44B,9,D4L1,51.0955,25.5000,1,A,0.191132,88.38,9,6,3
80,D5L3_74,44B,15,D5L3,43.3013,23.0000,1,A,0.190234,88.23,9,6,2
81,D1L3_68,44B,13,D1L3,50.2295,23.0000,1,A,0.188772,88.08,9,6,4
82,D4L1_21,44A,52,D4L1,25.9808,5.0000,1,A,0.188316,87.93,9,6,2
83,D5L2_71,44B,10,D5L2,46.7654,26.0000,1,A,0.187140,87.78,9,6,3
84,D3Y1_16,44A,78,D3Y1,18.1865,12.5000,1,A,0.186466,87.63,9,6,6
85,D2L3_62,44B,14,D2L3,44.1673,23.5000,1,A,0.185680,87.48,9,6,1
86,D5L2_8,44A,65,D5L2,22.5167,4.0000,1,A,0.185567,87.33,9,6,2
87,D2L3_19,44A,51,D2L3,30.3109,3.5000,1,A,0.183057,87.18,9,5,2
88,D2L3_20,44A,51,D2L3,30.3109,4.5000,1,A,0.183024,87.03,9,6,1
89,D1L3_5,44A,68,D1L3,8.6603,4.0000,1,A,0.181921,86.89,9,6,3
90,D2Y1_19,44A,61,D2Y1,38.9711,12.5000,1,A,0.181760,86.74,9,6,3
91,D4L1_24,44A,52,D4L1,26.8468,5.5000,1,A,0.181136,86.59,9,6,2
92,D5L3_12,44A,69,D5L3,23.3827,8.5000,1,A,0.180211,86.44,9,6,3
93,D2L3_24,44A,51,D2L3,31.1769,5.0000,1,A,0.180210,86.29,9,6,1
