block,varian,h,komponen,mean,std,n,sign,vonis
TANGGA,v1,2,prevalensi (random-nograph),0.00295,0.00446,40,33/40,INCONCLUSIVE
TANGGA,v1,2,temporal (nograph-MLP),0.00337,0.00743,40,27/40,INCONCLUSIVE
TANGGA,v1,2,total STGNN-MLP,0.0161,0.01013,40,37/40,POS
TANGGA,v1,3,STRUKTUR vs local r<=3  (paling ketat),0.0128,0.00843,40,36/40,POS
TANGGA,v1,3,STRUKTUR vs local r<=6,0.01458,0.00743,40,40/40,POS
TANGGA,v1,3,STRUKTUR vs random GLOBAL,0.01512,0.00811,40,39/40,POS
TANGGA,v1,3,prevalensi (random-nograph),0.00209,0.00786,40,25/40,INCONCLUSIVE
TANGGA,v1,3,temporal (nograph-MLP),0.00206,0.00918,40,21/40,INCONCLUSIVE
TANGGA,v1,3,total STGNN-MLP,0.01927,0.01302,40,36/40,POS
TANGGA,v1,4,STRUKTUR vs local r<=3  (paling ketat),0.01393,0.00935,40,39/40,POS
TANGGA,v1,4,STRUKTUR vs local r<=6,0.01539,0.00922,40,40/40,POS
TANGGA,v1,4,STRUKTUR vs random GLOBAL,0.01653,0.00973,40,39/40,POS
TANGGA,v1,4,prevalensi (random-nograph),0.0018,0.00696,40,26/40,INCONCLUSIVE
TANGGA,v1,4,temporal (nograph-MLP),0.00115,0.00901,40,19/40,INCONCLUSIVE
TANGGA,v1,4,total STGNN-MLP,0.01949,0.01284,40,35/40,POS
TANGGA_AP,v1,1,MLP,0.05875,0.00342,40,,
TANGGA_AP,v1,1,nograph,0.06317,0.00536,40,,
TANGGA_AP,v1,1,random,0.06571,0.00494,40,,
TANGGA_AP,v1,1,rlocal3,0.06665,0.00529,40,,
TANGGA_AP,v1,1,rlocal6,0.06559,0.00524,40,,
TANGGA_AP,v1,1,true,0.07011,0.00612,40,,
TANGGA_AP,v1,2,MLP,0.10923,0.00718,40,,
TANGGA_AP,v1,2,nograph,0.1126,0.00771,40,,
TANGGA_AP,v1,2,random,0.11555,0.00701,40,,
TANGGA_AP,v1,2,rlocal3,0.11773,0.00793,40,,
TANGGA_AP,v1,2,rlocal6,0.11563,0.00716,40,,
TANGGA_AP,v1,2,true,0.12533,0.00689,40,,
TANGGA_AP,v1,3,MLP,0.16249,0.00899,40,,
TANGGA_AP,v1,3,nograph,0.16455,0.00883,40,,
TANGGA_AP,v1,3,random,0.16664,0.00722,40,,
TANGGA_AP,v1,3,rlocal3,0.16896,0.00789,40,,
TANGGA_AP,v1,3,rlocal6,0.16718,0.00767,40,,
TANGGA_AP,v1,3,true,0.18176,0.0076,40,,
TANGGA_AP,v1,4,MLP,0.18811,0.00763,40,,
TANGGA_AP,v1,4,nograph,0.18927,0.00564,40,,
TANGGA_AP,v1,4,random,0.19106,0.00703,40,,
TANGGA_AP,v1,4,rlocal3,0.19367,0.00801,40,,
TANGGA_AP,v1,4,rlocal6,0.1922,0.0091,40,,
TANGGA_AP,v1,4,true,0.2076,0.0113,40,,
