part,dataset,fold,h,model,metric,mean,std,n,pos,verdict,strata,observed,null_mean,null_std,excess,z,n_ge,n_perm,note
DECOMP,REAL,44A,1,temporal (nograph-MLP),pairedAUCPR,0.006536824736053227,0.001123770770687907,4,4,POS,,,,,,,,,
DECOMP,REAL,44B,1,temporal (nograph-MLP),pairedAUCPR,0.0008166943476612537,0.0013199741155502827,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,pooled,1,prevalence (random-nograph),pairedAUCPR,0.0026182727768046046,0.0023188723843459644,8,7,POS,,,,,,,,,
DECOMP,REAL,44A,1,prevalence (random-nograph),pairedAUCPR,0.001561324377805635,0.002839912506039897,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,1,prevalence (random-nograph),pairedAUCPR,0.003675221175803574,0.000674503811338305,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,1,STRUCTURE (true-random),pairedAUCPR,0.004868896950849246,0.005194764350447951,8,7,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44A,1,STRUCTURE (true-random),pairedAUCPR,0.004113068426544974,0.006892750451775281,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,1,STRUCTURE (true-random),pairedAUCPR,0.005624725475153518,0.002306207060655565,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,1,total graph (true-nograph),pairedAUCPR,0.0074871697276538505,0.004475040140543732,8,8,POS,,,,,,,,,
DECOMP,REAL,44A,1,total graph (true-nograph),pairedAUCPR,0.005674392804350609,0.00537823041986886,4,4,POS,,,,,,,,,
DECOMP,REAL,44B,1,total graph (true-nograph),pairedAUCPR,0.009299946650957092,0.002134077253154397,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,1,total STGNN-MLP (true-MLP),pairedAUCPR,0.01116392926951109,0.003994857967937997,8,8,POS,,,,,,,,,
DECOMP,REAL,44A,1,total STGNN-MLP (true-MLP),pairedAUCPR,0.012211217540403836,0.005012672252703748,4,4,POS,,,,,,,,,
DECOMP,REAL,44B,1,total STGNN-MLP (true-MLP),pairedAUCPR,0.010116640998618346,0.002144124952112242,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,1,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.011497138058482487,0.007152055006559085,8,0,NEG,,,,,,,,,
DECOMP,REAL,44A,1,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.016141543667909996,0.007101292025928335,4,0,NEG,,,,,,,,,
DECOMP,REAL,44B,1,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.006852732449054979,0.002955406277725108,4,0,NEG,,,,,,,,,
AP,REAL,44A,2,posrate,no-skill AUCPR,0.03224775195121765,0.0,1,,,,,,,,,,,
AP,REAL,44A,2,MLP,AUCPR,0.1140846466284949,0.00872850740989823,4,,,,,,,,,,,
AP,REAL,44A,2,nograph,AUCPR,0.12370637487761593,0.0011405239595577493,4,,,,,,,,,,,
AP,REAL,44A,2,random,AUCPR,0.12360975486808627,0.002680952600195752,4,,,,,,,,,,,
